category,rank,player,team,value
Free Throw Attempts,4,Allisha Gray,ATL,229
Free Throw Attempts,5,Brittney Sykes,TOT,219
Free Throw Attempts,6,Breanna Stewart,NYL,202
Free Throw Attempts,7,Tina Charles,CON,196
Free Throw Attempts,8,Kelsey Mitchell,IND,190
Free Throw Attempts,9,Veronica Burton,GSV,189
Free Throw Attempts,NA,Skylar Diggins,SEA,189
Free Throw Attempts,11,Satou Sabally,PHO,185
Free Throw Attempts,12,Kiki Iriafen,WAS,176
Free Throw Attempts,13,Angel Reese,CHI,172
Free Throw Attempts,14,Napheesa Collier,MIN,171
Free Throw Attempts,15,Alyssa Thomas,PHO,169
Free Throw Attempts,16,Sabrina Ionescu,NYL,163
Free Throw Attempts,17,Paige Bueckers,DAL,152
Free Throw Attempts,18,Sonia Citron,WAS,149
Free Throw Attempts,19,Aliyah Boston,IND,147
Free Throw Attempts,20,Shakira Austin,WAS,146
Minutes Played,1,Kelsey Plum,LAS,1508
Minutes Played,2,Allisha Gray,ATL,1451
Minutes Played,3,Sonia Citron,WAS,1415
Minutes Played,4,Gabby Williams,SEA,1391
Minutes Played,5,Kelsey Mitchell,IND,1381
Minutes Played,6,Dearica Hamby,LAS,1374
Minutes Played,7,Chelsea Gray,LVA,1368
Minutes Played,8,Nneka Ogwumike,SEA,1359
Minutes Played,9,Skylar Diggins,SEA,1343
Minutes Played,10,Jackie Young,LVA,1336
Minutes Played,11,Aliyah Boston,IND,1327
Minutes Played,12,Veronica Burton,GSV,1292
Minutes Played,13,Courtney Williams,MIN,1260
Minutes Played,14,Azura Stevens,LAS,1249
Minutes Played,15,A'ja Wilson,LVA,1247
Minutes Played,16,Jewell Loyd,LVA,1245
Minutes Played,17,Bridget Carleton,MIN,1227
Minutes Played,18,Tina Charles,CON,1222
Minutes Played,19,Alyssa Thomas,PHO,1221
Minutes Played,20,Kayla McBride,MIN,1220
Minutes Per Game,1,Kelsey Plum,LAS,35.1
Minutes Per Game,2,Rhyne Howard,ATL,34.9
Minutes Per Game,3,Allisha Gray,ATL,34.5
Minutes Per Game,4,Arike Ogunbowale,DAL,33.3
Minutes Per Game,5,Paige Bueckers,DAL,33.3
Minutes Per Game,6,Napheesa Collier,MIN,32.3
Minutes Per Game,7,Sonia Citron,WAS,32.2
Minutes Per Game,8,Gabby Williams,SEA,31.6
Minutes Per Game,9,Angel Reese,CHI,31.6
Minutes Per Game,10,Marina Mabrey,CON,31.5
Minutes Per Game,11,Sabrina Ionescu,NYL,31.4
Minutes Per Game,12,Kelsey Mitchell,IND,31.4
Minutes Per Game,13,Alyssa Thomas,PHO,31.3
Minutes Per Game,14,Kayla McBride,MIN,31.3
Minutes Per Game,15,Skylar Diggins,SEA,31.2
Minutes Per Game,16,Dearica Hamby,LAS,31.2
Minutes Per Game,17,A'ja Wilson,LVA,31.2
Minutes Per Game,18,Chelsea Gray,LVA,31.1
Minutes Per Game,19,Nneka Ogwumike,SEA,30.9
Minutes Per Game,20,Rickea Jackson,LAS,30.9
Turnovers,1,Alyssa Thomas,PHO,135
Turnovers,2,Kelsey Plum,LAS,131
Turnovers,3,Chelsea Gray,LVA,125
Turnovers,4,Angel Reese,CHI,118
Turnovers,5,Dearica Hamby,LAS,117
Turnovers,6,Courtney Williams,MIN,101
Turnovers,7,Sabrina Ionescu,NYL,100
Turnovers,8,Marina Mabrey,CON,98
Turnovers,NA,Brittney Sykes,TOT,98
Turnovers,NA,Jackie Young,LVA,98
Turnovers,11,Kamilla Cardoso,CHI,97
Turnovers,12,Kiki Iriafen,WAS,96
Turnovers,13,Veronica Burton,GSV,94
Turnovers,14,Shakira Austin,WAS,92
Turnovers,15,Sonia Citron,WAS,91
Turnovers,NA,Skylar Diggins,SEA,91
Turnovers,17,Myisha Hines-Allen,DAL,87
Turnovers,NA,A'ja Wilson,LVA,87
Turnovers,19,Natasha Howard,IND,85
Turnovers,NA,Nneka Ogwumike,SEA,85
Personal Fouls,1,Aliyah Boston,IND,136
Personal Fouls,2,NaLyssa Smith,TOT,131
Personal Fouls,3,Kiki Iriafen,WAS,126
Personal Fouls,NA,Ezi Magbegor,SEA,126
Personal Fouls,5,Lexie Hull,IND,121
Personal Fouls,6,Natasha Cloud,NYL,119
Personal Fouls,NA,Temi Fagbenle,GSV,119
Personal Fouls,NA,Dearica Hamby,LAS,119
Personal Fouls,NA,Natasha Howard,IND,119
Personal Fouls,10,Kelsey Plum,LAS,117
Personal Fouls,11,Alanna Smith,MIN,116
Personal Fouls,12,Satou Sabally,PHO,115
Personal Fouls,13,Kamilla Cardoso,CHI,113
Personal Fouls,14,Erica Wheeler,SEA,112
Personal Fouls,15,Allisha Gray,ATL,109
Personal Fouls,NA,Brionna Jones,ATL,109
Personal Fouls,17,Jackie Young,LVA,106
Personal Fouls,18,Veronica Burton,GSV,103
Personal Fouls,NA,Angel Reese,CHI,103
Personal Fouls,20,Ariel Atkins,CHI,102
Player Efficiency Rating,1,A'ja Wilson,LVA,33.4
Player Efficiency Rating,2,Napheesa Collier,MIN,30.2
Player Efficiency Rating,3,Alyssa Thomas,PHO,25.2
Player Efficiency Rating,4,Dearica Hamby,LAS,23.8
Player Efficiency Rating,5,Breanna Stewart,NYL,23.7
Player Efficiency Rating,6,Aliyah Boston,IND,22.8
Player Efficiency Rating,7,Brionna Jones,ATL,22.6
Player Efficiency Rating,8,Jackie Young,LVA,22.3
Player Efficiency Rating,9,Paige Bueckers,DAL,22.1
Player Efficiency Rating,10,Nneka Ogwumike,SEA,21.8
Player Efficiency Rating,11,Jessica Shepard,MIN,21.1
Player Efficiency Rating,12,Sabrina Ionescu,NYL,20.4
Player Efficiency Rating,13,Jonquel Jones,NYL,20.3
Player Efficiency Rating,14,Azura Stevens,LAS,20.2
Player Efficiency Rating,15,Kelsey Mitchell,IND,19.9
Player Efficiency Rating,16,Angel Reese,CHI,19.9
Player Efficiency Rating,17,Kamilla Cardoso,CHI,19.8
Player Efficiency Rating,18,Allisha Gray,ATL,19.7
Player Efficiency Rating,19,Satou Sabally,PHO,19.5
Player Efficiency Rating,20,Veronica Burton,GSV,19.3
Win Shares,1,A'ja Wilson,LVA,9.5
Win Shares,2,Napheesa Collier,MIN,8.3
Win Shares,3,Allisha Gray,ATL,7.7
Win Shares,4,Aliyah Boston,IND,7.1
Win Shares,5,Alyssa Thomas,PHO,6.9
Win Shares,6,Brionna Jones,ATL,6.8
Win Shares,7,Jackie Young,LVA,6.6
Win Shares,8,Veronica Burton,GSV,6.4
Win Shares,9,Nneka Ogwumike,SEA,5.7
Win Shares,10,Dearica Hamby,LAS,5.6
Win Shares,11,Kelsey Mitchell,IND,5.6
Win Shares,12,Rhyne Howard,ATL,5.1
Win Shares,13,Breanna Stewart,NYL,4.9
Win Shares,14,Alanna Smith,MIN,4.8
Win Shares,15,Naz Hillmon,ATL,4.8
Win Shares,16,Azura Stevens,LAS,4.7
Win Shares,17,Jessica Shepard,MIN,4.6
Win Shares,18,Skylar Diggins,SEA,4.6
Win Shares,19,Kayla McBride,MIN,4.6
Win Shares,20,Ezi Magbegor,SEA,4.5
Offensive Win Shares,1,A'ja Wilson,LVA,6.2
Offensive Win Shares,2,Napheesa Collier,MIN,5.5
Offensive Win Shares,3,Allisha Gray,ATL,5.2
Offensive Win Shares,4,Jackie Young,LVA,4.9
Offensive Win Shares,5,Aliyah Boston,IND,4.6
Offensive Win Shares,6,Kelsey Mitchell,IND,4.5
Offensive Win Shares,7,Dearica Hamby,LAS,4.4
Offensive Win Shares,8,Veronica Burton,GSV,4.2
Offensive Win Shares,9,Brionna Jones,ATL,4.2
Offensive Win Shares,10,Kelsey Plum,LAS,4.1
Offensive Win Shares,11,Alyssa Thomas,PHO,4.1
Offensive Win Shares,12,Paige Bueckers,DAL,4
Offensive Win Shares,13,Nneka Ogwumike,SEA,3.3
Offensive Win Shares,14,Azura Stevens,LAS,3.2
Offensive Win Shares,15,Breanna Stewart,NYL,2.9
Offensive Win Shares,16,Kayla McBride,MIN,2.9
Offensive Win Shares,17,Skylar Diggins,SEA,2.9
Offensive Win Shares,18,Jessica Shepard,MIN,2.9
Offensive Win Shares,19,Rhyne Howard,ATL,2.8
Offensive Win Shares,20,Naz Hillmon,ATL,2.7
Defensive Win Shares,1,A'ja Wilson,LVA,3.3
Defensive Win Shares,2,Alanna Smith,MIN,2.9
Defensive Win Shares,3,Gabby Williams,SEA,2.8
Defensive Win Shares,4,Alyssa Thomas,PHO,2.8
Defensive Win Shares,5,Napheesa Collier,MIN,2.7
Defensive Win Shares,6,Brionna Jones,ATL,2.6
Defensive Win Shares,7,Courtney Williams,MIN,2.6
Defensive Win Shares,8,Allisha Gray,ATL,2.5
Defensive Win Shares,9,Aliyah Boston,IND,2.5
Defensive Win Shares,10,Nneka Ogwumike,SEA,2.4
Defensive Win Shares,11,Ezi Magbegor,SEA,2.4
Defensive Win Shares,12,Rhyne Howard,ATL,2.3
Defensive Win Shares,13,Veronica Burton,GSV,2.2
Defensive Win Shares,14,Natasha Howard,IND,2.1
Defensive Win Shares,15,Naz Hillmon,ATL,2
Defensive Win Shares,16,Satou Sabally,PHO,2
Defensive Win Shares,17,Breanna Stewart,NYL,2
Defensive Win Shares,18,Bridget Carleton,MIN,1.8
Defensive Win Shares,19,Shakira Austin,WAS,1.8
Defensive Win Shares,20,Chelsea Gray,LVA,1.8
Offensive Rating,1,Natasha Mack,PHO,125
Offensive Rating,2,Napheesa Collier,MIN,122.9
Offensive Rating,3,Jessica Shepard,MIN,121.8
Offensive Rating,4,Brionna Jones,ATL,119.3
Offensive Rating,5,Allisha Gray,ATL,119
Offensive Rating,6,A'ja Wilson,LVA,118.6
Offensive Rating,7,Aliyah Boston,IND,117.9
Offensive Rating,8,Naz Hillmon,ATL,117.9
Offensive Rating,9,Sophie Cunningham,IND,117.5
Offensive Rating,10,Jackie Young,LVA,117.1
Offensive Rating,11,Veronica Burton,GSV,117
Offensive Rating,12,Maddy Siegrist,DAL,116.9
Offensive Rating,13,Iliana Rupert,GSV,116.6
Offensive Rating,14,Azura Stevens,LAS,115.5
Offensive Rating,15,Paige Bueckers,DAL,115.4
Offensive Rating,16,Emma Meesseman,NYL,115.3
Offensive Rating,17,Leonie Fiebich,NYL,115.3
Offensive Rating,18,Kelsey Mitchell,IND,114
Offensive Rating,19,Rebekah Gardner,NYL,113.8
Offensive Rating,20,Natisha Hiedeman,MIN,113.8
Defensive Rating,1,A'ja Wilson,LVA,96
Defensive Rating,2,Alanna Smith,MIN,96.4
Defensive Rating,3,Napheesa Collier,MIN,96.5
Defensive Rating,4,Alyssa Thomas,PHO,98.4
Defensive Rating,5,Brionna Jones,ATL,98.8
Defensive Rating,6,Jordin Canada,ATL,99.3
Defensive Rating,7,Jessica Shepard,MIN,99.5
Defensive Rating,8,Brittney Griner,ATL,99.5
Defensive Rating,9,Shakira Austin,WAS,99.6
Defensive Rating,10,Breanna Stewart,NYL,99.8
Defensive Rating,11,Gabby Williams,SEA,99.9
Defensive Rating,12,Courtney Williams,MIN,99.9
Defensive Rating,13,Ezi Magbegor,SEA,100
Defensive Rating,14,Maya Caldwell,ATL,100.3
Defensive Rating,15,Natasha Howard,IND,100.4
Defensive Rating,16,Jonquel Jones,NYL,100.5
Defensive Rating,17,Rhyne Howard,ATL,100.5
Defensive Rating,18,Satou Sabally,PHO,100.9
Defensive Rating,19,Aliyah Boston,IND,101.2
Defensive Rating,20,Temi Fagbenle,GSV,101.4
Usage Pct,1,A'ja Wilson,LVA,31.9
Usage Pct,2,Shakira Austin,WAS,29.9
Usage Pct,3,Satou Sabally,PHO,29.2
Usage Pct,4,Sabrina Ionescu,NYL,28.9
Usage Pct,5,Napheesa Collier,MIN,28.6
Usage Pct,6,Tina Charles,CON,28.3
Usage Pct,7,Kelsey Mitchell,IND,27.7
Usage Pct,8,Kahleah Copper,PHO,27.6
Usage Pct,9,Breanna Stewart,NYL,27.2
Usage Pct,10,Marina Mabrey,CON,25.8
Usage Pct,11,Courtney Williams,MIN,25.7
Usage Pct,12,Dearica Hamby,LAS,25.6
Usage Pct,13,Nneka Ogwumike,SEA,25.4
Usage Pct,14,Kelsey Plum,LAS,25.4
Usage Pct,15,Brittney Sykes,TOT,25.1
Usage Pct,16,Angel Reese,CHI,25
Usage Pct,17,Paige Bueckers,DAL,24.7
Usage Pct,18,Kiki Iriafen,WAS,24.5
Usage Pct,19,Alyssa Thomas,PHO,24.4
Usage Pct,20,Skylar Diggins,SEA,24.3
Total Rebound Pct,1,Angel Reese,CHI,23.4
Total Rebound Pct,2,Aneesah Morrow,CON,21.7
Total Rebound Pct,3,Jessica Shepard,MIN,20.9
Total Rebound Pct,4,Kiki Iriafen,WAS,19.5
Total Rebound Pct,5,A'ja Wilson,LVA,19.1
Total Rebound Pct,6,Kamilla Cardoso,CHI,18.2
Total Rebound Pct,7,Jonquel Jones,NYL,17.5
Total Rebound Pct,8,Shakira Austin,WAS,17
Total Rebound Pct,9,Azura Stevens,LAS,16.9
Total Rebound Pct,10,Natasha Howard,IND,16.6
Total Rebound Pct,11,Aliyah Boston,IND,16.5
Total Rebound Pct,12,Brionna Jones,ATL,16.1
Total Rebound Pct,13,Alyssa Thomas,PHO,16.1
Total Rebound Pct,14,Myisha Hines-Allen,DAL,15.6
Total Rebound Pct,15,Dearica Hamby,LAS,15.2
Total Rebound Pct,16,Brittney Griner,ATL,14.8
Total Rebound Pct,17,Elizabeth Williams,CHI,14.5
Total Rebound Pct,18,Naz Hillmon,ATL,14.3
Total Rebound Pct,19,NaLyssa Smith,TOT,14
Total Rebound Pct,20,Olivia Nelson-Ododa,CON,13.7
Offensive Rebound Pct,1,Angel Reese,CHI,15.4
Offensive Rebound Pct,2,Brionna Jones,ATL,14
Offensive Rebound Pct,3,Jessica Shepard,MIN,13.4
Offensive Rebound Pct,4,Kamilla Cardoso,CHI,12.7
Offensive Rebound Pct,5,Aneesah Morrow,CON,12.4
Offensive Rebound Pct,6,Kiki Iriafen,WAS,11.8
Offensive Rebound Pct,7,Elizabeth Williams,CHI,10.4
Offensive Rebound Pct,8,Dearica Hamby,LAS,10
Offensive Rebound Pct,9,Natasha Howard,IND,9.7
Offensive Rebound Pct,10,Aliyah Boston,IND,9.6
Offensive Rebound Pct,11,Temi Fagbenle,GSV,9
Offensive Rebound Pct,12,NaLyssa Smith,TOT,8.8
Offensive Rebound Pct,13,Olivia Nelson-Ododa,CON,8.6
Offensive Rebound Pct,14,A'ja Wilson,LVA,8.5
Offensive Rebound Pct,15,Ezi Magbegor,SEA,8.2
Offensive Rebound Pct,16,Shakira Austin,WAS,8
Offensive Rebound Pct,17,Naz Hillmon,ATL,7.4
Offensive Rebound Pct,18,Myisha Hines-Allen,DAL,7.2
Offensive Rebound Pct,19,Azura Stevens,LAS,7.2
Offensive Rebound Pct,20,Alanna Smith,MIN,7.1
Assist Pct,1,Alyssa Thomas,PHO,53.6
Assist Pct,2,Veronica Burton,GSV,37.6
Assist Pct,3,Courtney Williams,MIN,35.6
Assist Pct,4,Jordin Canada,ATL,33.2
Assist Pct,5,Sabrina Ionescu,NYL,33
Assist Pct,6,Skylar Diggins,SEA,31.8
Assist Pct,7,Jackie Young,LVA,30.9
Assist Pct,8,Paige Bueckers,DAL,30.2
Assist Pct,9,Natasha Cloud,NYL,28.9
Assist Pct,10,Chelsea Gray,LVA,28.3
Assist Pct,11,Kelsey Plum,LAS,27.9
Assist Pct,12,Julie Allemand,LAS,25.7
Assist Pct,13,Sug Sutton,WAS,25
Assist Pct,14,Marina Mabrey,CON,24.3
Assist Pct,15,Bria Hartley,CON,23.8
Assist Pct,16,Natisha Hiedeman,MIN,23.8
Assist Pct,17,Ariel Atkins,CHI,23.5
Assist Pct,18,Brittney Sykes,TOT,22.8
Assist Pct,19,Rhyne Howard,ATL,22.6
Assist Pct,20,Angel Reese,CHI,21.5
Defensive Rebound Pct,1,Aneesah Morrow,CON,31.9
Defensive Rebound Pct,2,Angel Reese,CHI,31.2
Defensive Rebound Pct,3,A'ja Wilson,LVA,29.7
Defensive Rebound Pct,4,Jessica Shepard,MIN,27.9
Defensive Rebound Pct,5,Kiki Iriafen,WAS,27.2
Defensive Rebound Pct,6,Jonquel Jones,NYL,27.1
Defensive Rebound Pct,7,Alyssa Thomas,PHO,26.7
Defensive Rebound Pct,8,Azura Stevens,LAS,26.1
Defensive Rebound Pct,9,Shakira Austin,WAS,26
Defensive Rebound Pct,10,Myisha Hines-Allen,DAL,24.7
Defensive Rebound Pct,11,Brittney Griner,ATL,23.8
Defensive Rebound Pct,12,Natasha Howard,IND,23.8
Defensive Rebound Pct,13,Aliyah Boston,IND,23.7
Defensive Rebound Pct,14,Kamilla Cardoso,CHI,23.5
Defensive Rebound Pct,15,Nneka Ogwumike,SEA,22.8
Defensive Rebound Pct,16,Naz Hillmon,ATL,20.8
Defensive Rebound Pct,17,Dearica Hamby,LAS,20.2
Defensive Rebound Pct,18,Breanna Stewart,NYL,19.8
Defensive Rebound Pct,19,Satou Sabally,PHO,19.8
Defensive Rebound Pct,20,Napheesa Collier,MIN,19.5
Steal Pct,1,Gabby Williams,SEA,3.6
Steal Pct,2,Jordin Canada,ATL,3.2
Steal Pct,3,Saniya Rivers,CON,2.9
Steal Pct,4,Ariel Atkins,CHI,2.8
Steal Pct,5,A'ja Wilson,LVA,2.7
Steal Pct,6,Napheesa Collier,MIN,2.7
Steal Pct,7,Alyssa Thomas,PHO,2.6
Steal Pct,8,Alanna Smith,MIN,2.6
Steal Pct,9,Maya Caldwell,ATL,2.6
Steal Pct,10,Erica Wheeler,SEA,2.5
Steal Pct,11,Dearica Hamby,LAS,2.5
Steal Pct,12,Natasha Howard,IND,2.5
Steal Pct,13,Shakira Austin,WAS,2.4
Steal Pct,14,Angel Reese,CHI,2.4
Steal Pct,15,Satou Sabally,PHO,2.4
Steal Pct,16,Paige Bueckers,DAL,2.4
Steal Pct,17,Julie Allemand,LAS,2.4
Steal Pct,18,Chelsea Gray,LVA,2.3
Steal Pct,19,Rhyne Howard,ATL,2.3
Steal Pct,20,Kathryn Westbeld,PHO,2.3
Block Pct,1,Ezi Magbegor,SEA,7.2
Block Pct,2,Alanna Smith,MIN,6.6
Block Pct,3,A'ja Wilson,LVA,6.4
Block Pct,4,Olivia Nelson-Ododa,CON,5.2
Block Pct,5,Brittney Griner,ATL,5
Block Pct,6,Shakira Austin,WAS,4.7
Block Pct,7,Napheesa Collier,MIN,4.3
Block Pct,8,Elizabeth Williams,CHI,4
Block Pct,9,Breanna Stewart,NYL,4
Block Pct,10,Kamilla Cardoso,CHI,4
Block Pct,11,Jonquel Jones,NYL,3.6
Block Pct,12,Azura Stevens,LAS,3.5
Block Pct,13,Saniya Rivers,CON,3.4
Block Pct,14,Kathryn Westbeld,PHO,2.9
Block Pct,15,Aliyah Boston,IND,2.8
Block Pct,16,NaLyssa Smith,TOT,2.8
Block Pct,17,Rebecca Allen,CHI,2.6
Block Pct,18,Brionna Jones,ATL,2.6
Block Pct,19,Temi Fagbenle,GSV,2.6
Block Pct,20,Skylar Diggins,SEA,2.3
Turnover Pct,1,DeWanna Bonner,TOT,8.7
Turnover Pct,2,Rhyne Howard,ATL,9.1
Turnover Pct,3,Kelsey Mitchell,IND,9.1
Turnover Pct,4,Kathryn Westbeld,PHO,9.5
Turnover Pct,5,A'ja Wilson,LVA,10
Turnover Pct,6,Allisha Gray,ATL,10.3
Turnover Pct,7,Jewell Loyd,LVA,10.4
Turnover Pct,8,Napheesa Collier,MIN,10.6
Turnover Pct,9,Paige Bueckers,DAL,10.6
Turnover Pct,10,Tina Charles,CON,10.8
Turnover Pct,11,Breanna Stewart,NYL,10.8
Turnover Pct,12,Dana Evans,LVA,11
Turnover Pct,13,Bridget Carleton,MIN,11.1
Turnover Pct,14,Nneka Ogwumike,SEA,11.3
Turnover Pct,15,Alysha Clark,TOT,11.4
Turnover Pct,16,Satou Sabally,PHO,11.4
Turnover Pct,17,Lexie Hull,IND,11.5
Turnover Pct,18,Arike Ogunbowale,DAL,11.6
Turnover Pct,19,Brionna Jones,ATL,11.7
Turnover Pct,20,Aneesah Morrow,CON,11.7
